Price,Close,High,Low,Open,Volume
Ticker,ATOS,ATOS,ATOS,ATOS,ATOS
Date,,,,,
2019-10-16,1.8300000429153442,2.0299999713897705,1.75,1.899999976158142,672700
2019-10-17,1.7699999809265137,1.8200000524520874,1.690000057220459,1.8200000524520874,145400
2019-10-18,1.7799999713897705,1.7999999523162842,1.7599999904632568,1.7599999904632568,115600
2019-10-21,1.7300000190734863,1.8300000429153442,1.7200000286102295,1.8300000429153442,64400
2019-10-22,1.7200000286102295,1.75,1.7200000286102295,1.75,79500
2019-10-23,1.7300000190734863,1.7599999904632568,1.7300000190734863,1.7400000095367432,42400
2019-10-24,1.7100000381469727,1.7699999809265137,1.7100000381469727,1.7400000095367432,28400
2019-10-25,1.7300000190734863,1.75,1.7000000476837158,1.7100000381469727,27700
2019-10-28,1.7400000095367432,1.7699999809265137,1.7200000286102295,1.7200000286102295,49600
2019-10-29,1.7000000476837158,1.7400000095367432,1.6699999570846558,1.7200000286102295,48300
2019-10-30,1.690000057220459,1.7400000095367432,1.6799999475479126,1.7100000381469727,21000
2019-10-31,1.590000033378601,1.690000057220459,1.5499999523162842,1.690000057220459,82100
2019-11-01,1.690000057220459,1.7100000381469727,1.5700000524520874,1.5800000429153442,54300
2019-11-04,1.6699999570846558,1.7000000476837158,1.649999976158142,1.6699999570846558,26000
2019-11-05,1.6799999475479126,1.7000000476837158,1.649999976158142,1.659999966621399,12500
2019-11-06,1.6200000047683716,1.6799999475479126,1.590000033378601,1.6699999570846558,39800
2019-11-07,1.590000033378601,1.649999976158142,1.590000033378601,1.6200000047683716,31300
2019-11-08,1.559999942779541,1.600000023841858,1.5,1.590000033378601,64500
2019-11-11,1.409999966621399,1.5399999618530273,1.399999976158142,1.5099999904632568,104800
2019-11-12,1.3899999856948853,1.4700000286102295,1.3899999856948853,1.4199999570846558,95000
2019-11-13,1.4199999570846558,1.559999942779541,1.409999966621399,1.4500000476837158,130000
2019-11-14,1.4299999475479126,1.4700000286102295,1.340000033378601,1.440000057220459,84500
2019-11-15,1.3899999856948853,1.409999966621399,1.3600000143051147,1.399999976158142,57700
2019-11-18,1.2799999713897705,1.3899999856948853,1.2599999904632568,1.3600000143051147,169200
2019-11-19,1.25,1.2899999618530273,1.2100000381469727,1.2599999904632568,144400
2019-11-20,1.25,1.2899999618530273,1.190000057220459,1.2100000381469727,262700
2019-11-21,1.3300000429153442,1.3799999952316284,1.2599999904632568,1.2699999809265137,211600
